                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                 1.4505,                 1.2419,                 1.1396,                0.37983,                0.65883,                0.33304,                0.25022,                0.87263,                 1.0855,                0.92172,               0.001177,               0.001177,               0.001177
                     61,                 1.5159,                  1.259,                 1.1651,                0.40034,                0.68009,                0.34547,                0.25244,                0.95025,                 1.0905,                0.94662,              0.0011757,              0.0011757,              0.0011757
                     62,                 1.4841,                 1.2638,                 1.1641,                0.38254,                 0.6506,                0.34878,                0.26874,                0.83584,                 1.2026,                0.89233,              0.0011745,              0.0011745,              0.0011745
                     63,                 1.4871,                  1.246,                 1.1573,                0.37865,                  0.656,                0.32871,                0.23614,                0.93963,                 1.0749,                0.89243,              0.0011733,              0.0011733,              0.0011733
                     64,                 1.4839,                 1.2766,                 1.1689,                0.39548,                0.64219,                0.32933,                0.23764,                0.88499,                 1.1023,                0.91138,               0.001172,               0.001172,               0.001172
                     65,                 1.4644,                 1.2526,                  1.154,                0.35555,                0.65198,                0.31932,                0.24606,                0.81454,                 1.0606,                0.89464,              0.0011708,              0.0011708,              0.0011708
                     66,                 1.5258,                 1.2812,                  1.169,                0.38238,                0.67242,                 0.3336,                0.24089,                0.89582,                 1.0706,                 0.9249,              0.0011696,              0.0011696,              0.0011696
                     67,                 1.4713,                  1.255,                 1.1553,                0.36057,                 0.6279,                0.31277,                0.23248,                0.85633,                 1.0599,                 0.9194,              0.0011683,              0.0011683,              0.0011683
                     68,                 1.4664,                 1.2669,                 1.1517,                0.37737,                0.64632,                0.32064,                0.25065,                0.80916,                 1.0834,                0.90647,              0.0011671,              0.0011671,              0.0011671
                     69,                 1.4559,                 1.2529,                 1.1497,                0.33292,                0.59696,                0.28841,                0.22561,                0.80849,                 1.0898,                0.90279,              0.0011658,              0.0011658,              0.0011658
                     70,                 1.4673,                 1.2409,                 1.1601,                0.34627,                0.61349,                0.29363,                0.22493,                0.88258,                 1.1201,                0.90818,              0.0011646,              0.0011646,              0.0011646
                     71,                 1.4365,                 1.2154,                 1.1377,                0.34745,                 0.6096,                0.31443,                0.24041,                0.92437,                 1.1342,                0.91101,              0.0011634,              0.0011634,              0.0011634
                     72,                 1.4611,                  1.234,                 1.1434,                0.35886,                0.66321,                0.32003,                0.23593,                0.96266,                 1.1315,                0.91173,              0.0011621,              0.0011621,              0.0011621
                     73,                 1.4514,                 1.2319,                 1.1369,                0.37632,                 0.6377,                0.33058,                0.24607,                0.87677,                 1.0861,                0.90342,              0.0011609,              0.0011609,              0.0011609
                     74,                 1.4746,                 1.2206,                 1.1395,                0.35188,                0.63958,                0.30198,                0.22921,                0.87515,                 1.1556,                0.89578,              0.0011597,              0.0011597,              0.0011597
                     75,                 1.4791,                 1.2586,                  1.156,                0.35165,                0.61963,                 0.3048,                0.23922,                0.77535,                 1.0858,                0.88718,              0.0011584,              0.0011584,              0.0011584
                     76,                 1.4465,                 1.2494,                 1.1481,                0.38923,                0.68647,                0.35007,                0.27159,                0.80115,                 1.0933,                0.88294,              0.0011572,              0.0011572,              0.0011572
                     77,                 1.4207,                 1.2171,                 1.1313,                0.39151,                0.66472,                0.35079,                0.26905,                0.81969,                 1.1517,                0.89233,              0.0011559,              0.0011559,              0.0011559
                     78,                 1.4303,                 1.2106,                 1.1278,                0.34519,                0.65345,                0.32031,                0.25105,                0.78936,                 1.1199,                0.90404,              0.0011547,              0.0011547,              0.0011547
                     79,                 1.4128,                 1.2062,                 1.1238,                0.38212,                0.64278,                0.32564,                0.25727,                0.83294,                 1.0934,                0.88551,              0.0011535,              0.0011535,              0.0011535
                     80,                 1.4358,                 1.2313,                 1.1306,                0.36292,                0.64785,                0.31739,                0.25408,                0.76471,                 1.0542,                0.87459,              0.0011522,              0.0011522,              0.0011522
                     81,                 1.4383,                 1.2241,                 1.1305,                0.36431,                0.64502,                0.31381,                0.24699,                0.86303,                 1.0863,                 0.8874,               0.001151,               0.001151,               0.001151
                     82,                 1.4323,                 1.1935,                 1.1244,                0.42253,                0.69179,                0.35961,                0.28149,                0.83704,                 1.0914,                 0.8846,              0.0011498,              0.0011498,              0.0011498
                     83,                 1.4464,                 1.2187,                 1.1331,                 0.3608,                0.66982,                0.32875,                0.24611,                0.88461,                 1.1652,                0.89054,              0.0011485,              0.0011485,              0.0011485
                     84,                 1.4271,                  1.213,                 1.1262,                 0.3545,                0.63593,                0.29526,                0.23376,                0.79656,                 1.1033,                0.88967,              0.0011473,              0.0011473,              0.0011473
                     85,                 1.4041,                 1.2104,                 1.1202,                0.39019,                0.66765,                0.33187,                0.26164,                0.76801,                 1.0522,                0.88128,              0.0011461,              0.0011461,              0.0011461
                     86,                 1.4357,                 1.1986,                 1.1198,                0.39509,                0.68612,                0.35149,                0.28068,                0.75912,                 1.0575,                0.87275,              0.0011448,              0.0011448,              0.0011448
                     87,                 1.4271,                 1.1955,                 1.1195,                0.39988,                0.68257,                0.35417,                0.27661,                0.79515,                 1.0711,                0.87534,              0.0011436,              0.0011436,              0.0011436
                     88,                 1.3939,                 1.1855,                 1.1128,                0.36787,                0.64655,                0.32446,                0.24747,                0.84639,                 1.0672,                0.87593,              0.0011423,              0.0011423,              0.0011423
                     89,                 1.3742,                 1.1708,                 1.1055,                0.40069,                0.66698,                0.34291,                0.26499,                0.83546,                 1.0576,                0.87729,              0.0011411,              0.0011411,              0.0011411
                     90,                 1.4041,                 1.1835,                 1.1116,                0.40382,                0.69155,                0.36455,                0.28602,                0.81558,                 1.0725,                0.86893,              0.0011399,              0.0011399,              0.0011399
                     91,                  1.399,                 1.1638,                 1.1048,                0.39068,                0.65544,                0.34679,                 0.2735,                0.80672,                 1.1163,                0.88376,              0.0011386,              0.0011386,              0.0011386
                     92,                 1.4252,                 1.1898,                 1.1225,                0.37877,                 0.6436,                0.32944,                0.25146,                0.86451,                 1.0718,                0.89024,              0.0011374,              0.0011374,              0.0011374
                     93,                 1.3993,                 1.1825,                 1.1133,                0.40377,                0.67324,                0.34731,                0.28019,                0.79278,                 1.0827,                0.87271,              0.0011362,              0.0011362,              0.0011362
                     94,                 1.3944,                  1.156,                 1.1055,                0.38411,                0.65659,                0.32762,                0.25098,                  0.843,                 1.0755,                0.88052,              0.0011349,              0.0011349,              0.0011349
                     95,                 1.3725,                 1.1665,                 1.1134,                0.38668,                 0.6736,                 0.3376,                0.27371,                0.73983,                 1.0414,                0.86144,              0.0011337,              0.0011337,              0.0011337
                     96,                 1.3938,                 1.1542,                 1.1103,                 0.3698,                0.65397,                 0.3083,                0.23697,                 0.8246,                 1.0558,                0.88008,              0.0011324,              0.0011324,              0.0011324
                     97,                 1.4044,                 1.1943,                  1.116,                0.38859,                0.67112,                0.34191,                0.26331,                 0.8398,                 1.0787,                0.87808,              0.0011312,              0.0011312,              0.0011312
                     98,                 1.4065,                  1.159,                 1.1057,                0.41118,                0.68139,                0.35916,                0.28248,                0.76181,                  1.039,                0.87674,                0.00113,                0.00113,                0.00113
                     99,                 1.3577,                 1.1626,                 1.1018,                0.37671,                0.65057,                0.32396,                 0.2468,                0.86172,                 1.0813,                0.88283,              0.0011287,              0.0011287,              0.0011287
                    100,                  1.379,                  1.156,                  1.097,                0.37594,                0.66605,                0.33577,                0.26327,                0.76145,                   1.07,                0.89856,              0.0011275,              0.0011275,              0.0011275
                    101,                 1.3484,                 1.1364,                 1.0943,                0.39951,                  0.701,                  0.369,                0.29161,                0.78395,                 1.0473,                0.88008,              0.0011263,              0.0011263,              0.0011263
                    102,                 1.3521,                 1.1263,                 1.0939,                0.36341,                0.64401,                 0.3229,                0.25699,                 0.7761,                 1.0575,                0.89517,               0.001125,               0.001125,               0.001125
